Level,STR,DEX,CON,INT,EXP
1,1,1,1,1,10
2,3,3,3,3,20
3,5,5,5,5,30
4,7,7,7,7,40
5,9,9,9,9,50
6,11,11,11,11,60
7,13,13,13,13,70
8,15,15,15,15,80
9,17,17,17,17,90
10,19,19,19,19,100
11,21,21,21,21,110
12,23,23,23,23,120
13,25,25,25,25,130
14,27,27,27,27,140
15,29,29,29,29,150
16,31,31,31,31,160
17,33,33,33,33,170
18,35,35,35,35,180
19,37,37,37,37,190
20,39,39,39,39,200
21,41,41,41,41,210
22,43,43,43,43,220
23,45,45,45,45,230
24,47,47,47,47,240
25,49,49,49,49,250
26,51,51,51,51,260
27,53,53,53,53,270
28,55,55,55,55,280
29,57,57,57,57,290
30,59,59,59,59,300
31,61,61,61,61,310
32,63,63,63,63,320
33,65,65,65,65,330
34,67,67,67,67,340
35,69,69,69,69,350
36,71,71,71,71,360
37,73,73,73,73,370
38,75,75,75,75,380
39,77,77,77,77,390
40,79,79,79,79,400
41,81,81,81,81,410
42,83,83,83,83,420
43,85,85,85,85,430
44,87,87,87,87,440
45,89,89,89,89,450
46,91,91,91,91,460
47,93,93,93,93,470
48,95,95,95,95,480
49,97,97,97,97,490
50,99,99,99,99,500
